production_budget_usd,worldwide_gross_usd
40000000,136123083
40000000,139474906
40000000,187384627
40000000,145238250
40000000,158701644
40000000,137047376
40000000,205400000
40000000,70836296
40000000,91729503
40000000,150886329
40000000,162610473
40000000,158527918
40000000,124823094
40000000,75505856
40000000,197232734
40000000,128792135
40000000,120455994
40000000,215862692
40000000,195111193
40000000,156553592
40000000,153060045
40000000,244088654
40000000,161838076
40000000,106511453
40000000,178710620
40000000,124827316
40000000,166893990
40000000,181053657
40000000,126646119
40000000,97470701
40000000,224922135
40000000,311270008
40000000,132440066
40000000,152266007
40000000,167851995
40000000,177835231
40000000,332000000
40000000,149804632
40000000,457507776
40000000,190212113
40000000,257878294
40000000,314709717
40000000,570998101
40000000,351774938
40000000,283218368
40000000,672806292
39000000,6429865
39000000,40319440
39000000,37956589
39000000,81150788
39000000,69538833
39000000,59950623
39000000,102332135
38600000,57987299
38000000,5473041
38000000,623374
38000000,6504442
38000000,17830244
38000000,10229300
38000000,27501814
38000000,19317765
38000000,17378193
38000000,58394308
38000000,24515990
38000000,29544532
38000000,98230839
38000000,44411527
38000000,110678636
38000000,50970660
38000000,57753825
38000000,94763758
38000000,73956241
38000000,105887837
38000000,116809717
38000000,117523786
38000000,61894591
38000000,107597242
38000000,87098466
38000000,120000000
38000000,119721296
38000000,205298907
38000000,182365114
38000000,206512310
37500000,9813309
37500000,58792011
37500000,120925697
37000000,24935799
37000000,48446802
37000000,67029956
37000000,97143987
37000000,55909910
37000000,99595932
37000000,101857425
37000000,168167798
37000000,96068724
37000000,152566881
37000000,173567581
37000000,267816276
37000000,402280159
36500000,15000000
36000000,1480089
36000000,4020990
36000000,156835197
36000000,2954405
36000000,12532777
36000000,13052741
36000000,14378353
36000000,23360779
36000000,43797731
36000000,85315070
36000000,57824533
36000000,50159144
36000000,65967750
36000000,160000000
36000000,117448157
36000000,102226631
36000000,193737977
35200000,38283765
35000000,11106
35000000,19282590
35000000,786532
35000000,17967746
35000000,630779
35000000,1320043
35000000,1500000
35000000,2000000
35000000,2221994
35000000,4496583
35000000,4651977
35000000,24687524
35000000,32738814
35000000,6448817
35000000,16830252
35000000,28721408
35000000,42064105
35000000,11559747
35000000,10157534
35000000,29890402
35000000,61173364
35000000,15461638
35000000,12819501
